Date,Payee,Category,Notes,Amount
2026-02-20,"LENTA-20 Telmana RUS. Операция по карте ****5038","Супермаркеты","AuthCode: 440464",-797.12
2026-02-19,"ZOOMAGAZIN CHETYRE LAPY SANKT-PETERBU RUS. Операция по карте ****5038","Все для дома","AuthCode: 047419",-4129.0
2026-02-19,"BPWWW000. Операция по счету ****6696","Прочие операции","AuthCode: 514924",-10000.0
2026-02-18,"KOFE I VAFLI SANKT-PETERBU RUS. Операция по карте ****5038","Рестораны и кафе","AuthCode: 622497",-640.0
2026-02-18,"SBERBANK ONL@IN KARTA-VKLAD. Операция по счету ****6696","Прочие операции","AuthCode: 096712",-250000.0
2026-02-18,"Заработная плата. Операция по счету ****6696","Прочие операции","AuthCode: 647585",270570.0
2026-02-18,"Перевод для Ж. Елизавета Викторовна. Операция по счету ****6696","Перевод СБП","AuthCode: 486744",-1800.0
2026-02-18,"Перевод для Ж. Елизавета Викторовна. Операция по счету ****6696","Перевод СБП","AuthCode: 560368",-500.0
2026-02-17,"VKUSVILL MOSCOW RUS. Операция по карте ****6953","Супермаркеты","AuthCode: 920227",-3937.0
2026-02-17,"SBERBANK ONL@IN VKLAD-KARTA. Операция по счету ****6696","Прочие операции","AuthCode: 127497",5000.0
2026-02-17,"Перевод для Р. Борис Сергеевич. Операция по счету ****6696","Перевод СБП","AuthCode: 015679",-1945.0
2026-02-17,"SBERBANK ONL@IN VKLAD-KARTA. Операция по счету ****6696","Прочие операции","AuthCode: 281698",5000.0
2026-02-16,"DODO PIZZA KOLPINO-1 KOLPINO RUS. Операция по карте ****6953","Рестораны и кафе","AuthCode: 697025",-1084.0
2026-02-16,"AZS 650 TATNEFT SANKT-PETERBU RUS. Операция по карте ****5038","Автомобиль","AuthCode: 761029",-3230.32
2026-02-15,"OOO RASSVET KOLPINO RUS. Операция по карте ****5038","Все для дома","AuthCode: 964260",-1926.0
2026-02-16,"OOO LINKOR SANKT-PETERBU RUS. Операция по карте ****5038","Рестораны и кафе","AuthCode: 293714",-546.5
2026-02-15,"GAZPROMNEFT AZS 048 SPETERSBURG RUS. Операция по карте ****5038","Автомобиль","AuthCode: 376091",-632.0
2026-02-15,"SBERPRAJM PLYUS MOSCOW RUS. Операция по карте ****6953","Прочие расходы","AuthCode: 748406",-599.0
2026-02-15,"MAGNIT MM BOKOVOI KOLPINO RUS. Операция по карте ****5038","Супермаркеты","AuthCode: 466586",-779.36
2026-02-14,"CEKH 85 SANKT-PETERBU RUS. Операция по карте ****5038","Рестораны и кафе","AuthCode: 718756",-299.0
2026-02-14,"SH KHOD 24 KOLPINO RUS. Операция по карте ****5038","Рестораны и кафе","AuthCode: 990571",-729.0
2026-02-14,"LAVKA PEKARYA 50 KOLPINO RUS. Операция по карте ****5038","Рестораны и кафе","AuthCode: 809968",-358.0
2026-02-14,"SBERBANK ONL@IN VKLAD-KARTA. Операция по счету ****6696 *","Прочие операции","AuthCode: 473897",10000.0
