ДАТА ОПЕРАЦИИ (МСК);Дата обработки;Код авторизации;Описание операции;КАТЕГОРИЯ;СУММА В ВАЛЮТЕ СЧЁТА;Сумма в валюте операции;Валюта операции;ОСТАТОК СРЕДСТВ В ВАЛЮТЕ СЧЁТА
2026-02-20 00:14:00;2026-02-20;440464;LENTA-20 Telmana RUS. Операция по карте ****5038;Супермаркеты;-797.12;;;7924.81
2026-02-19 20:13:00;2026-02-19;047419;ZOOMAGAZIN CHETYRE LAPY SANKT-PETERBU RUS. Операция по карте ****5038;Все для дома;-4129.0;;;8721.93
2026-02-19 18:59:00;2026-02-19;514924;BPWWW000. Операция по счету ****6696;Прочие операции;-10000.0;;;12850.93
2026-02-18 16:03:00;2026-02-18;622497;KOFE I VAFLI SANKT-PETERBU RUS. Операция по карте ****5038;Рестораны и кафе;-640.0;;;22850.93
2026-02-18 15:32:00;2026-02-18;096712;SBERBANK ONL@IN KARTA-VKLAD. Операция по счету ****6696;Прочие операции;-250000.0;;;23490.93
2026-02-18 14:08:00;2026-02-18;647585;Заработная плата. Операция по счету ****6696;Прочие операции;270570.0;;;273490.93
2026-02-18 11:53:00;2026-02-18;486744;Перевод для Ж. Елизавета Викторовна. Операция по счету ****6696;Перевод СБП;-1800.0;;;2920.93
2026-02-18 00:03:00;2026-02-18;560368;Перевод для Ж. Елизавета Викторовна. Операция по счету ****6696;Перевод СБП;-500.0;;;4720.93
2026-02-17 18:17:00;2026-02-17;920227;VKUSVILL MOSCOW RUS. Операция по карте ****6953;Супермаркеты;-3937.0;;;5220.93
2026-02-17 18:09:00;2026-02-17;127497;SBERBANK ONL@IN VKLAD-KARTA. Операция по счету ****6696;Прочие операции;5000.0;;;9157.93
2026-02-17 12:37:00;2026-02-17;015679;Перевод для Р. Борис Сергеевич. Операция по счету ****6696;Перевод СБП;-1945.0;;;4157.93
2026-02-17 12:37:00;2026-02-17;281698;SBERBANK ONL@IN VKLAD-KARTA. Операция по счету ****6696;Прочие операции;5000.0;;;6102.93
2026-02-16 22:32:00;2026-02-17;697025;DODO PIZZA KOLPINO-1 KOLPINO RUS. Операция по карте ****6953;Рестораны и кафе;-1084.0;;;1102.93
2026-02-16 21:07:00;2026-02-16;761029;AZS 650 TATNEFT SANKT-PETERBU RUS. Операция по карте ****5038;Автомобиль;-3230.32;;;2186.93
2026-02-15 11:50:00;2026-02-16;964260;OOO RASSVET KOLPINO RUS. Операция по карте ****5038;Все для дома;-1926.0;;;5417.25
2026-02-16 14:37:00;2026-02-16;293714;OOO LINKOR SANKT-PETERBU RUS. Операция по карте ****5038;Рестораны и кафе;-546.5;;;7343.25
2026-02-15 10:48:00;2026-02-16;376091;GAZPROMNEFT AZS 048 SPETERSBURG RUS. Операция по карте ****5038;Автомобиль;-632.0;;;7889.75
2026-02-15 14:29:00;2026-02-15;748406;SBERPRAJM PLYUS MOSCOW RUS. Операция по карте ****6953;Прочие расходы;-599.0;;;8521.75
2026-02-15 12:06:00;2026-02-15;466586;MAGNIT MM BOKOVOI KOLPINO RUS. Операция по карте ****5038;Супермаркеты;-779.36;;;9120.75
2026-02-14 16:44:00;2026-02-14;718756;CEKH 85 SANKT-PETERBU RUS. Операция по карте ****5038;Рестораны и кафе;-299.0;;;9900.11
2026-02-14 16:19:00;2026-02-14;990571;SH KHOD 24 KOLPINO RUS. Операция по карте ****5038;Рестораны и кафе;-729.0;;;10199.11
2026-02-14 16:15:00;2026-02-14;809968;LAVKA PEKARYA 50 KOLPINO RUS. Операция по карте ****5038;Рестораны и кафе;-358.0;;;10928.11
2026-02-14 16:14:00;2026-02-14;473897;SBERBANK ONL@IN VKLAD-KARTA. Операция по счету ****6696 *;Прочие операции;10000.0;;;11286.11
